"Owning Library","Item Barcode","Use Count","Shelving Location Name","Title","Author","Pubdate","Callnumber Label","Dewy Hundreds","Dewy Tens","Status","Deleted","Price","Create Date","Edit Date"
"OCRL-DUBLN","31040001441780","5","NEW-BKS","The only plane in the sky : an oral history of 9/11","Graff, Garrett M. 1981-","2019","973.931 GRAF","900","970","0","0","25.00","2019-10-17","2020-01-30"
"OCRL-DUBLN","31040001441798","6","NEW-BKS","The United States of Trump : how the President really sees America","O'Reilly, Bill","2019","92 TRUM","000","090","0","0","25.00","2019-10-17","2020-06-08"
"OCRL-DUBLN","31040001441806","2","NEW-BKS","Over the top : a raw journey to self-love","Van Ness, Jonathan","2019","92 VAN","000","090","0","0","25.00","2019-10-17","2020-02-03"
"OCRL-DUBLN","31040001441814","6","NEW-BKS","Talking to strangers : what we should know about the people we don't know","Gladwell, Malcolm 1963-","2019","302 GLAD","300","300","0","0","25.00","2019-10-17","2020-05-29"
"OCRL-DUBLN","31040001441822","3","LEASE","To the land of long lost friends","McCall Smith, Alexander 1948-","2019","FIC MCCA",,,"13","1","25.00","2019-10-17","2020-06-25"
"OCRL-DUBLN","31040001441830","10","LEASE","The night fire","Connelly, Michael 1956-","2019","FIC CONN",,,"0","0","25.00","2019-10-17","2020-05-27"
"OCRL-DUBLN","31040001441848","9","LEASE","The Christmas spirits on Tradd Street","White, Karen (Karen S.)","2019","FIC WHIT",,,"13","1","25.00","2019-10-17","2020-06-25"
"OCRL-DUBLN","31040001441855","5","LEASE","Agent running in the field","Le Carré, John 1931-","2019","FIC LECA",,,"13","1","25.00","2019-10-17","2020-06-25"
"OCRL-DUBLN","31040001441863","9","LEASE","The deserter : a novel","DeMille, Nelson","2019","FIC DEMI",,,"13","1","25.00","2019-10-17","2020-06-25"
"OCRL-DUBLN","31040001441871","12","LEASE","Stealth","Woods, Stuart","2019","FIC WOOD",,,"13","1","25.00","2019-10-17","2020-06-25"
"OCRL-DUBLN","31040001441889","5","LEASE","Life undercover : coming of age in the CIA","Fox, Amaryllis","2019","92 FOX","000","090","0","0","25.00","2019-10-17","2020-06-02"
"OCRL-DUBLN","31040001441897","0","LEASE","The inflammation spectrum : find your food triggers and reset your system","Cole, Will (Functional medicine expert)","2019","616.0473 COLE","600","610","0","0","25.00","2019-10-17","2019-10-18"
"OCRL-DUBLN","31040001441905","1","LEASE","Dear girls : intimate tales, untold secrets & advice for living your best life","Wong, Ali","2019","92 WONG","000","090","0","0","25.00","2019-10-17","2019-12-17"
"OCRL-DUBLN","31040001441913","1","LEASE","Beyond a reasonable stout","Alexander, Ellie","2019","FIC ALEX",,,"13","1","25.00","2019-10-17","2020-06-25"
"OCRL-DUBLN","31040001441921","9","LEASE","Let it snow : a novel","Thayer, Nancy 1943-","2019","FIC THAY",,,"13","1","25.00","2019-10-17","2020-06-25"
"OCRL-DUBLN","31040001442184","0","PAPERBACK","The killer angels","Shaara, Michael","2003","FIC SHAA PB",,,"0","0","5.00","2019-10-18","2019-10-19"
"OCRL-DUBLN","31040001442192","3","PAPERBACK","To kill a mockingbird","Lee, Harper","1982","FIC LEE PB",,,"0","0","5.00","2019-10-18","2020-06-23"
"OCRL-DUBLN","31040001442366","4","AV","The gathering storm",,"2009","DVD FIC GATH d#652","600","650","0","0","25.00","2019-07-09","2019-12-02"
"OCRL-DUBLN","31040001442382","5","AV","""...First do no harm""",,"2012","DVD FIC FIRS d#651","600","650","0","0","25.00","2019-07-09","2020-03-03"
"OCRL-DUBLN","31040001442499","0","FOREIGNL","Léxico tabacalero cubano","Perdomo, José E. (José Enrique) 1901-","1998","SPANISH 679.703 PERD","600","670","0","0","25.00","2019-07-26","2019-08-13"
"OCRL-DUBLN","31040001442507","0","COMPACT SHELVING","Charter of the City of Dublin, Georgia.",,"1937","LH GEN GA LAURENS 352 CHAR","300","350","102","0","25.00","2019-09-10","2019-09-10"
"OCRL-DUBLN","31040001442515","4","NEW-BKS","Nanaville : adventures in grandparenting","Quindlen, Anna","2019","813.54 QUIN","800","810","0","0","25.00","2019-07-29","2020-03-05"
"OCRL-DUBLN","31040001442523","3","NEW-BKS","Llewellyn's complete book of astrology : the easy way to learn astrology","Riske, Kris Brandt.","2007","133.5 RISK","100","130","0","0","25.00","2019-07-26","2020-02-24"
"OCRL-DUBLN","31040001442531","3","NEW-BKS","Astrology for yourself : how to understand and interpret your own birth chart : a workbook for personal transformation","Bloch, Douglas 1949-","2006","133.54 BLOC","100","130","6","0","25.00","2019-07-26","2020-06-30"
"OCRL-DUBLN","31040001442549","5","NEW-BKS","The miracle equation : the two decisions that move your biggest goals from possible, to probable, to inevitable","Elrod, Hal 1979-","2019","158.1 ELRO","100","150","6","0","25.00","2019-07-26","2020-06-22"
"OCRL-DUBLN","31040001442556","0","Reference Office","The 7 habits of highly effective people personal workbook ","Covey, Stephen R.","2005","PROF COLL 158 COVE","100","150","0","0","25.00","2019-07-23","2019-08-13"
"OCRL-DUBLN","31040001442564","4","NEW-BKS","A course in miracles : combined volume",,"2007","299.93 COUR","200","290","0","0","25.00","2019-07-23","2020-06-24"
"OCRL-DUBLN","31040001442606","0","NEW-BKS","The little free library book","Aldrich, Margret 1975-","2015","027 ALDR","000","020","0","0","25.00","2019-07-01","2019-07-02"
"OCRL-DUBLN","31040001442614","0","NEW-BKS","On thinking institutionally","Heclo, Hugh","2011","306 HECL","300","300","0","0","25.00","2019-07-23","2019-08-13"
"OCRL-DUBLN","31040001442622","0","GENEALOGY","Sweet dirt and Southern bones","Brown, Cindy Smith.","2003","FIC BROW",,,"5","1","25.00","2019-09-10","2019-09-10"
"OCRL-DUBLN","31040001442630","0","GENEALOGY","The North Carolina historical and genealogical register.",,"1900","GEN NC 975.6 NORT 1903","900","970","0","0","25.00","2019-09-11","2019-09-16"
"OCRL-DUBLN","31040001442648","0","GEORGIA","Yesterplace : blue jeans and pantaloons in post World War II Georgia","Lindsley, Susan.","2007","GA 921 LIND","900","920","0","0","25.00","2019-12-28","2020-01-07"
"OCRL-DUBLN","31040001442655","0","NONFIC","Civil War ghosts & legends","Roberts, Nancy 1924-2008","2002","133.1 ROBE","100","130","0","0","25.00","2019-12-28","2020-01-03"
"OCRL-DUBLN","31040001442663","0","JUV","My America : a poetry atlas of the United States",,"2000","811 MY","800","810","5","0","25.00","2019-12-28","2019-12-28"
"OCRL-DUBLN","31040001442671","2","NEW-BKS","Super human : the Bulletproof plan to age backward and maybe even live forever","Asprey, Dave","2019","612.68 ASPR","600","610","0","0","25.00","2019-12-27","2020-02-08"
"OCRL-DUBLN","31040001442689","0","NEW-BKS","With all due respect : defending America with grit and grace","Haley, Nikki 1972-","2019","327.73 HALE","300","320","0","0","25.00","2019-12-27","2019-12-30"
"OCRL-DUBLN","31040001442697","2","NEW-BKS","The body : a guide for occupants","Bryson, Bill","2019","612 BRYS","600","610","0","0","25.00","2019-12-23","2020-02-01"
"OCRL-DUBLN","31040001442705","0","NEW-BKS","Representative American speeches, 2018-2019",,"2019","815.608 REPR","800","810","0","0","25.00","2019-12-23","2020-01-07"
"OCRL-DUBLN","31040001442713","0","GENEALOGY","Virginia cemeteries : a guide to resources",,"1986","GEN VA 975.5 VIRG","900","970","0","0","25.00","2019-09-11","2019-09-16"
"OCRL-DUBLN","31040001442721","0","GENEALOGY","History of the 121st Infantry Regiment through 1946 and ""Gray Bonnet""",,"1990","GEN GA 940.54 HIST","900","940","2","0","25.00","2019-09-11","2019-09-16"
"OCRL-DUBLN","31040001442762","8","NEW-BKS","Little free libraries and tiny sheds : 12 miniature structures you can build","Schmidt, Philip","2019","643 SCHM","600","640","0","0","25.00","2019-07-01","2020-06-24"
"OCRL-DUBLN","31040001442770","0","COMPACT SHELVING","Pulaski County, Georgia : marriage records, 1808-1956","Evans, Tad.","1993","GEN GA PULASKI 929.35 EVAN","900","920","102","0","25.00","2019-09-10","2019-09-10"
"OCRL-DUBLN","31040001442788","0","NONFIC","Textile leaders of the South.","Young, Marjorie W. (Marjorie Willis) 1902-1994","1963","926.77 YOUN","900","920","0","0","25.00","2019-09-11","2019-09-16"
"OCRL-DUBLN","31040001442796","0","GENEALOGY","Georgia, a consumer's guide","Reid, Barry.","1982","HIST GA 640 GEOR","600","640","5","0","25.00","2019-09-11","2019-09-11"
"OCRL-DUBLN","31040001442804","1","NONFIC","The complete short stories of Ernest Hemingway.","Hemingway, Ernest 1899-1961","2003","813.52 HEMI","800","810","0","0","25.00","2019-12-27","2020-03-02"
"OCRL-DUBLN","31040001442812","0","NEW-BKS","Why we're polarized","Klein, Ezra","2020","306.0973 KLEI","300","300","0","0","25.00","2020-02-28","2020-02-29"
"OCRL-DUBLN","31040001442838","0","NONFIC","Mama tried : dispatches from the seamy underbelly of modern parenting","Flake, Emily 1977-","2015","649.10207 FLAK","600","640","0","0","25.00","2019-12-28","2020-01-03"
"OCRL-DUBLN","31040001442846","0","RESERVE","How to read poetry like a professor : a quippy and sonorous guide to verse","Foster, Thomas C.","2018","808.1 FOST","800","800","0","0","25.00","2019-12-27","2020-01-25"
"OCRL-DUBLN","31040001442853","0","RESERVE","Intertextuality","Allen, Graham 1963-","2011","809 ALLE","800","800","0","0","25.00","2019-12-27","2020-01-25"
