"Owning Library","Create Date","Call Number","Title","Author","Barcode","Circ Modifier","Price","Legacy Stat Cat 1 Value"
"TRRLS-BRANT","2020-03-18 09:54:39-04","AUDIO CD FIC WOO","Hit list","Woods, Stuart","31006003821345","audiobook","35.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-18 10:06:18-04","FIC THA","The sea glass cottage","Thayne, RaeAnne","31006003821352","book","26.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-18 15:26:39-04","NON FIC 510.76 M","McGraw-Hill Education strategies for the GEDÆ test in mathematical reasoning",,"31006500044672","book","26.00","PINES-NONFICTION"
"TRRLS-BRANT","2020-03-18 16:52:14-04","EASY DAL","Dot and Dan & Snack attack","Dale, Katie","31006003833100","book","20.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-18 16:54:15-04","EASY DEW","Llama Llama, be my Valentine!","Dewdney, Anna","31006003833092","book","14.89","PINES-FICTION"
"TRRLS-BRANT","2020-03-18 16:56:36-04","EASY BRA","Taking care of your dragon","Braun, Eric 1971-","31006003833084","book","20.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-18 16:58:11-04","EASY PAR","The case of the disappearing doll","Parent, Nancy","31006003833076","book","14.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-18 16:59:41-04","EASY BOU","Made to play!","Bouchard, Natasha","31006003833068","book","14.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-18 17:03:17-04","JUV NF 741.5973 A","Amazing powers",,"31006003833050","book","14.96","PINES-NONFICTION"
"TRRLS-BRANT","2020-03-19 10:21:34-04","EASY HOL","Angelina Ballerina and the tea party","Holabird, Katharine","31006003833035","book","13.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 10:23:53-04","EASY BAB","Baby Shark and the balloons.",,"31006003833027","book","14.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 10:28:43-04","YA FIC HOU VOL.1","Stranger things. Six","Houser, Jody","31006003833019","book","18.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 10:43:06-04","JUV NF 352.23 R","The president of the United States","Rustad, Martha E. H. (Martha Elizabeth Hillman) 1975-","31006003833001","book","21.99","PINES-NONFICTION"
"TRRLS-BRANT","2020-03-19 10:49:37-04","LP FIC FEL","The Mitford scandal","Fellowes, Jessica","31006003832995","book","38.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 11:33:40-04","LP FIC DAV","Love protects","David, Julia","31006003832987","book","36.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 11:43:24-04","LP FIC GRE","Veiled in smoke","Green, Jocelyn","31006003832979","book","36.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 11:46:32-04","LP FIC KAT","A girl's guide to the Outback","Kate, Jessica","31006003832961","book","36.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 11:55:10-04","LP FIC THR","Collision of lies","Threadgill, Tom 1961-","31006003832953","book","36.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 11:56:54-04","LP FIC FUL","The innkeeper's bride","Fuller, Kathleen","31006003832946","book","36.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 11:58:30-04","LP FIC AFS","Daughter of Rome","Afshar, Tessa","31006003832938","book","36.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 12:00:32-04","LP FIC PRE","Dark web : a novel","Preisler, Jerome","31006003832920","book","38.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 16:43:42-04","FIC BRU","The crow's call","Brunstetter, Wanda E.","31006003832755","book","15.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 16:47:19-04","FIC CAR","The happy camper","Carlson, Melody","31006003832748","book","15.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-19 16:50:23-04","FIC CAB","Out of the embers","Cabot, Amanda 1948-","31006003832730","book","15.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-23 13:17:27-04","FIC KLE","Chasing Cassandra","Kleypas, Lisa","31006003833761","book","27.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-23 16:14:31-04","FIC WAR","The sinner","Ward, J. R. 1969-","31006003833647","book","28.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-23 16:41:02-04","NON FIC 615.5 I","The illustrated encyclopedia of natural remedies",,"31006003833613","book","22.99","PINES-NONFICTION"
"TRRLS-BRANT","2020-03-23 16:42:17-04","FIC BYL","Hope deferred : an Amish romance","Byler, Linda","31006003833605","book","14.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-23 16:43:37-04","FIC WRO","Darling Rose Gold","Wrobel, Stephanie","31006003833597","book","26.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-23 16:46:53-04","FIC ROL","The last odyssey : a thriller","Rollins, James 1961-","31006003833589","book","28.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-23 16:49:12-04","FIC BOH","The red lotus : a novel","Bohjalian, Chris 1962-","31006003833571","book","27.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-23 16:50:58-04","FIC RUF","88 names : a novel","Ruff, Matt","31006003833563","book","27.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-23 16:52:55-04","NON FIC 940.5425 M","Unknown valor : a story of family, courage, and sacrifice from Pearl Harbor to Iwo Jima","MacCallum, Martha 1964-","31006003833555","book","27.99","PINES-NONFICTION"
"TRRLS-BRANT","2020-03-23 16:54:53-04","FIC REI","A conspiracy of bones","Reichs, Kathy","31006003833548","book","27.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-23 16:56:53-04","FIC COB","The boy from the woods","Coben, Harlan 1962-","31006003833530","book","29.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-23 16:58:31-04","FIC ENR","Actress : a novel","Enright, Anne 1962-","31006003833522","book","26.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-23 17:00:12-04","FIC WOO","Hit list","Woods, Stuart","31006003833514","book","28.00","PINES-FICTION"
"TRRLS-BRANT","2020-04-07 10:04:11-04","FIC PHI","That left turn at albuquerque","Phillips, Scott 1961-","31006003833506","book","27.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-07 10:05:36-04","JUV FIC SWO","The wish and the peacock","Swore, Wendy S.","31006003833498","book","16.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-07 10:23:36-04","AUDIO CD FIC COB","The boy from the woods : a novel","Coben, Harlan 1962-","31006003833472","audiobook","39.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-07 10:42:07-04","AUDIO CD FIC STE","The numbers game : a novel","Steel, Danielle","31006003833464","audiobook","34.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-07 10:44:06-04","AUDIO CD FIC ROL","The last odyssey : a thriller","Rollins, James 1961-","31006003833456","audiobook","44.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-07 10:46:43-04","LP 920 R","Mobituaries : great lives worth reliving","Rocca, Mo","31006003833449","book","33.99","PINES-BIOGRAPHY"
"TRRLS-BRANT","2020-04-07 10:48:27-04","LP FIC FUL","Travel light, move fast","Fuller, Alexandra 1969-","31006003833431","book","32.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-07 10:57:59-04","LP FIC WRI","Glass slippers, ever after and me","Wright, Julie 1972-","31006003833423","book","30.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-07 11:00:14-04","LP FIC MIL","Misleading Miss Verity","Miller, Carolyn 1974-","31006003833415","book","30.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-09 13:29:54.953368-04","FIC ROB","Bay of sighs","Roberts, Nora.","31006003834009","book","17.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-09 13:35:34.609435-04","JUV BIO JESUS CHRIST","Who was Jesus?","Morgan, Ellen 1970-","31006003833993","book","5.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 10:56:03-04","NON FIC 973.0496 B","Parting the waters : America in the King years, 1954-63","Branch, Taylor.","30301000030326","book","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 10:58:18.787404-04","NON FIC 973.926 N","""A new spirit, a new commitment, a new America"" : the inauguration of President Jimmy Carter and Vice President Walter F. Mondale","1977 Inaugural Committee (U.S.)","30301000087003","book","15.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:00:16-04","NON FIC 364.1523 B","Blind obedience : a true story of family loyalty and murder in South Georgia","Boyd, Bill 1935-","30301000214789","book","24.95","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:04:11-04","NON FIC 781.642 W","Traveling the high way home : Ralph Stanley and the world of traditional bluegrass music","Wright, John 1941-","30301000030086","book","25.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:09:13-04","NON FIC 929 S","State names, flags, seals, songs, birds, flowers, and other symbols a study based on historical documents giving the origin and significance of the state names, nicknames, mottoes, seals, flags, flowers, birds, songs, and descriptive comments on the capitol buildings and on some of the leading state histories, with facsimiles of the state flags and seals","Shankle, George Earlie.","31006003833910","book","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:14:20.447432-04","NON FIC 917.7 T","Life on the Mississippi","Twain, Mark 1835-1910","31006003833902","book","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:15:41-04","EASY HOL","Angelina's Christmas","Holabird, Katharine","30301000125134","book","16.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:18:35.948499-04","NON FIC 975.801 E","James Edward Oglethorpe, imperial idealist.","Ettinger, Amos Aschbach 1901-","31006003833894","book","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:20:43-04","NON FIC 248.3 L","Letters to Malcolm: chiefly on prayer.","Lewis, C. S. (Clive Staples) 1898-1963","31006003833886","book","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:30:17.041242-04","NON FIC 971.01 P VOL.2","France and England in North America","Parkman, Francis 1823-1893","30301000086856","book","32.50","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:31:42-04","FIC COL","The winter sister","Collins, Megan 1984-","31006003833878","book","17.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:33:41-04","FIC MAI","Mail-order mishaps : 4 brides adapt when marriage plans go awry",,"31006003833860","book","14.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:38:41-04","FIC WAT","The little stranger","Waters, Sarah 1966-","31006003833852","book","17.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:46:42-04","FIC WIT","Full steam ahead","Witemeyer, Karen.","31006003835121","book","14.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:51:05-04","FIC GRA","The patient one","Gray, Shelley Shepard","31006003835113","book","16.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:53:29-04","FIC LAD","The lady and the lawman : 4 historical stories of lawmen and the ladies who love them",,"31006003835105","book","14.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:57:18-04","FIC HED","A reluctant bride","Hedlund, Jody","31006003835097","book","15.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 11:58:33-04","FIC PET","Forever hidden","Peterson, Tracie","31006003835089","book","15.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 12:00:15-04","FIC LAD","The thief of Lanwyn Manor","Ladd, Sarah E.","31006003835071","book","15.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 12:01:29-04","FIC IRV","Mountains of grace","Irvin, Kelly","31006003835063","book","15.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 12:02:44-04","FIC FRA","An uncommon woman","Frantz, Laura","31006003835055","book","15.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 12:04:05-04","FIC MAC","Her rebel heart","MacLaren, Sharlene 1948-","31006003835048","book","14.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 12:06:14-04","NON FIC 759.13 S","Jericho : the South beheld","Shuptrine, Hubert 1936-","30301000184198","book","39.95","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 12:15:48.082241-04","VIDEO DVD ENT J","John Wayne classic westerns : Angel and the badman and Rainbow Valley",,"31006003835030","dvd-2","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 12:18:00.50844-04","VIDEO DVD ENT M","The misfits",,"31006003835022","dvd-2","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 12:19:26.75922-04","VIDEO DVD ENT C","Classic westerns collector's set.",,"31006003835014","dvd-2","5.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 12:20:57.913466-04","VIDEO DVD ENT V","Vertigo",,"31006003835006","dvd-2","19.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-16 12:22:48.390759-04","VIDEO DVD ENT D","The deadly trackers; Man in the wilderness",,"31006003834991","dvd-2","17.93","PINES-GIFT"
"TRRLS-BRANT","2020-04-21 09:39:56-04","EASY FRE","My precious Little Bear","Freedman, Claire","31006003834967","book","8.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-21 10:27:30-04","EASY HEL","Merriam-Webster's alphabet book","Heller, Ruth","31006003834934","book","12.95","PINES-GIFT"
"TRRLS-BRANT","2020-04-21 10:40:13-04","FIC WRI","The shepherd of the hills","Wright, Harold Bell 1872-1944","31006003834918","book","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-21 11:08:54-04","JUV NF 636.1 M","Horses amazing facts and trivia : an illustrated guide to the equine world","Mullen, Gary","31006003834900","book","12.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-21 11:10:15-04","JUV NF 597.96 W","Everything you need to know about snakes : and other scaly reptiles","Woodward, John active 1812-1842","31006003834892","book","8.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-24 11:48:11.283339-04","VIDEO DVD ENT H","Harry Potter and the sorcerer's stone",,"31006003835600","dvd-2","24.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-24 11:49:52.396724-04","VIDEO DVD ENT L","The little rascals",,"31006003835592","dvd-2","7.50","PINES-GIFT"
"TRRLS-BRANT","2020-04-24 11:56:26.441387-04","VIDEO DVD ENT M","Monster house",,"31006003835584","dvd-2","28.95","PINES-GIFT"
"TRRLS-BRANT","2020-04-24 11:58:15.1691-04","VIDEO DVD ENT W","Where the wild things are",,"31006003835576","dvd-2","28.98","PINES-GIFT"
"TRRLS-BRANT","2020-04-24 13:27:46.424218-04","EASY MCG","Teddy bear patterns","McGrath, Barbara Barbieri 1954-","31006003835519","book","16.95","PINES-GIFT"
"TRRLS-BRANT","2020-04-24 13:30:20-04","EASY POS","A Frozen Christmas","Posner-Sanchez, Andrea","31006003835501","book","8.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-24 13:38:37-04","EASY MAR","I spy treasure hunt : a book of picture riddles","Marzollo, Jean","31006003835493","book","13.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-24 13:46:35-04","EASY BRO","Stories for boys","Brown, Joff","31006003835485","book","25.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-24 13:48:04-04","EASY SPE","Winter's song","Spence, Stephanie","31006003835477","book","14.99","PINES-GIFT"
"TRRLS-BRANT","2020-04-24 13:56:46-04","EASY BRO","Sunshine and snowballs","Brown, Margaret Wise 1910-1952","31006003835469","book","16.00","PINES-GIFT"
"TRRLS-BRANT","2020-04-24 14:00:42-04","EASY RAN","The little mermaid","Randall, Ronne.","31006003835451","book","9.99","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 11:22:04-04","FIC GOY","The kissing bridge","Goyer, Tricia.","31006003835253","book","14.99","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 11:33:51-04","NON FIC 574.529 P","Protected animals of Georgia.",,"31006003835246","book","25.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 11:38:03-04","EASY POL","Appelemando's dreams","Polacco, Patricia","30301000210431","book","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 11:56:34-04","JUV NF 959.704 W VOL.2","War in Vietnam","Wright, David K.","31006003835238","book","20.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 12:32:36.681992-04","VIDEO DVD ENT G","The good, the bad and the ugly",,"31006003835220","dvd-2","12.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 12:35:08-04","VIDEO DVD ENT L","Little house on the prairie",,"31006003835212","dvd-2","25.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 12:37:22-04","VIDEO DVD ENT G","Goldfinger",,"31006003835204","dvd-2","14.98","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 12:39:02-04","VIDEO DVD ENT G","The Great Escape",,"31006003835196","dvd-2","15.99","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 12:53:12-04","VIDEO DVD ENT B","Black sheep",,"31006003835188","dvd-2","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 12:56:35-04","VIDEO DVD ENT H","How to steal a million",,"31006003835170","dvd-2","25.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 12:57:59-04","VIDEO DVD ENT T","Tommy boy",,"31006003835162","dvd-2","9.95","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 12:59:54-04","VIDEO DVD ENT T","The Terminator",,"31006003835154","dvd-2","15.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 13:02:33-04","VIDEO DVD ENT C","Cookie's fortune",,"31006003835147","dvd-2","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 14:43:37-04","JUV NF 641.512 C","Cooking for kids collection : 3 cookbooks in 1",,"31006003836327","book","18.99","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 14:45:28-04","JUV NF 641.59 L","The 2nd international cookbook for kids","Locricchio, Matthew.","31006003836319","book","18.99","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 14:47:15-04","VIDEO DVD ENT W","Whiplash : the complete series",,"31006003836301","dvd-2","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 14:55:04-04","JUV VID DVD ENT S","Jim Henson's Sid the science kid. The ruler of thumb",,"31006003836293","dvd-2","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 14:56:34-04","VIDEO DVD ENT G","A golden Christmas 2 : The second tail",,"31006003836285","dvd-2","10.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 14:59:11-04","VIDEO DVD ENT R VOL.1","Reba. The complete third season",,"31006003836269","dvd-2","25.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 14:59:11-04","VIDEO DVD ENT R VOL.2","Reba. The complete third season",,"31006003836251","dvd-2","25.00","PINES-GIFT"
"TRRLS-BRANT","2020-05-01 15:00:11-04","VIDEO DVD ENT R VOL.3","Reba. The complete third season",,"31006003836277","dvd-2","25.00","PINES-GIFT"
